"Temporada, Numero de incendios, Superficie Afectada"

"1969 - 1970,  551, 16,725"
"1970 - 1971, 669	, 22,603"
"1971 - 1972, 1,172, 81,570"
"1972 - 1973, 1,214, 42,763"
"1973 - 1974, 1,332, 19,162"
"1974 - 1975, 1,630, 9,604"
"1975 - 1976, 2,785, 24,266"
"1976 - 1977, 1,909, 26,458"
"1977 - 1978, 3,380, 29,963"
"1978 - 1979, 4,718, 76,215"
"1979 - 1980, 2,977, 22,535"
"1980 - 1981, 4,197, 32,056"
"1981 - 1982, 4,520, 26,842"
"1982 - 1983, 4,782, 45,748"
"1983 - 1984, 6,252, 80,191"
"1984 - 1985, 5,223, 47,572"
"1985 - 1986, 5,421, 67,414"
"1986 - 1987, 5,195, 97,055"
"1987 - 1988, 5,202, 85,837"
"1988 - 1989, 5,245, 88,062"
"1989 - 1990, 4,116, 25,545"
"1990 - 1991, 5,194, 50,273"
"1991 - 1992, 4,788, 24,224"
"1992 - 1993, 6,118, 49,981"
"1993 - 1994, 6,214, 65,606"
"1994 - 1995, 5,356, 26,174"
"1995 - 1996, 5,886, 40,081"
"1996 - 1997, 5,493, 43,592"
"1997 - 1998, 5,332, 90,887"
"1998 - 1999, 6,831, 101,691"
"1999 - 2000, 5,252, 17,183"
